"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"3331321105","31G","333","333130","333",""
"33313212","31G","333","333130","333",""
"3331321271","31G","333","333130","333",""
"3331323","31G","333","333130","333",""
"33313231","31G","333","333130","333",""
"3331323115","31G","333","333130","333",""
"33313232","31G","333","333130","333",""
"3331323226","31G","333","333130","333",""
"3331325","31G","333","333130","333",""
"33313251","31G","333","333130","333",""
"3331325105","31G","333","333130","333",""
"33313252","31G","333","333130","333",""
"3331325256","31G","333","333130","333",""
"3331327","31G","333","333130","333",""
"33313271","31G","333","333130","333",""
"3331327116","31G","333","333130","333",""
"3331327136","31G","333","333130","333",""
"3331327146","31G","333","333130","333",""
"3331327151","31G","333","333130","333",""
"33313272","31G","333","333130","333",""
"3331327210","31G","333","333130","333",""
"3331329","31G","333","333130","333",""
"33313291","31G","333","333130","333",""
"3331329100","31G","333","333130","333",""
"3332","31G","333","333242","333",""
"3332","31G","333","33329A","333",""
"33324","31G","333","333242","333",""
"33324","31G","333","33329A","333",""
"333241","31G","333","33329A","333",""
"3332411","31G","333","33329A","333",""
"33324111","31G","333","33329A","333",""
"3332411121","31G","333","33329A","333",""
"3332411142","31G","333","33329A","333",""
"3332411171","31G","333","33329A","333",""
"3332413","31G","333","33329A","333",""
"33324131","31G","333","33329A","333",""
"3332413111","31G","333","33329A","333",""
"33324132","31G","333","33329A","333",""
"3332413221","31G","333","33329A","333",""
"33324133","31G","333","33329A","333",""
"3332413331","31G","333","33329A","333",""
"33324134","31G","333","33329A","333",""
"3332413441","31G","333","33329A","333",""
"33324135","31G","333","33329A","333",""
"3332413551","31G","333","33329A","333",""
"33324136","31G","333","33329A","333",""
"3332413611","31G","333","33329A","333",""
"3332415","31G","333","33329A","333",""
"33324151","31G","333","33329A","333",""
"3332415107","31G","333","33329A","333",""
"33324152","31G","333","33329A","333",""
"3332415211","31G","333","33329A","333",""
"33324153","31G","333","33329A","333",""
"3332415311","31G","333","33329A","333",""
"333242","31G","333","333242","333",""
"3332420","31G","333","333242","333",""
"33324206","31G","333","333242","333",""
"3332420601","31G","333","333242","333",""
"3332420602","31G","333","333242","333",""
"3332420603","31G","333","333242","333",""
"3332420604","31G","333","333242","333",""
"3332420605","31G","333","333242","333",""
"3332420606","31G","333","333242","333",""
"333243","31G","333","33329A","333",""
"3332431","31G","333","33329A","333",""
"33324311","31G","333","33329A","333",""
"3332431101","31G","333","33329A","333",""
"33324312","31G","333","33329A","333",""
"3332431201","31G","333","33329A","333",""
"33324313","31G","333","33329A","333",""
"3332431301","31G","333","33329A","333",""
"3332434","31G","333","33329A","333",""
"33324341","31G","333","33329A","333",""
"3332434100","31G","333","33329A","333",""
"3332435","31G","333","33329A","333",""
"33324351","31G","333","33329A","333",""
"3332435101","31G","333","33329A","333",""
"33324352","31G","333","33329A","333",""
"3332435201","31G","333","33329A","333",""
"33324353","31G","333","33329A","333",""
"3332435301","31G","333","33329A","333",""
"3332435302","31G","333","33329A","333",""
"3332435303","31G","333","33329A","333",""
"3332435304","31G","333","33329A","333",""
"3332435305","31G","333","33329A","333",""
"3332435306","31G","333","33329A","333",""
"33324354","31G","333","33329A","333",""
"3332435401","31G","333","33329A","333",""
"3332436","31G","333","33329A","333",""
"33324361","31G","333","33329A","333",""
"3332436101","31G","333","33329A","333",""
"33324362","31G","333","33329A","333",""
"3332436201","31G","333","33329A","333",""
"33324363","31G","333","33329A","333",""
"3332436301","31G","333","33329A","333",""
"33324364","31G","333","33329A","333",""
"3332436401","31G","333","33329A","333",""
"33324365","31G","333","33329A","333",""
"3332436501","31G","333","33329A","333",""
"333244","31G","333","33329A","333",""
"3332442","31G","333","33329A","333",""
"33324421","31G","333","33329A","333",""
"3332442103","31G","333","33329A","333",""
"33324422","31G","333","33329A","333",""
"3332442221","31G","333","33329A","333",""
"33324423","31G","333","33329A","333",""
"3332442311","31G","333","33329A","333",""
"33324424","31G","333","33329A","333",""
"3332442441","31G","333","33329A","333",""
"33324425","31G","333","33329A","333",""
"3332442503","31G","333","33329A","333",""
"33324426","31G","333","33329A","333",""
"3332442611","31G","333","33329A","333",""
"3332447","31G","333","33329A","333",""
"33324471","31G","333","33329A","333",""
"3332447100","31G","333","33329A","333",""
"333244A","31G","333","33329A","333",""
"333244A1","31G","333","33329A","333",""
"333244A101","31G","333","33329A","333",""
"333244A122","31G","333","33329A","333",""
"333244A131","31G","333","33329A","333",""
"333244A132","31G","333","33329A","333",""
"333244A141","31G","333","33329A","333",""
"333244A2","31G","333","33329A","333",""
"333244A251","31G","333","33329A","333",""
"333244A3","31G","333","33329A","333",""
"333244A371","31G","333","33329A","333",""
"333244A4","31G","333","33329A","333",""
"333244A481","31G","333","33329A","333",""
"333244A5","31G","333","33329A","333",""
"333244A511","31G","333","33329A","333",""
"333244A6","31G","333","33329A","333",""
"333244A611","31G","333","33329A","333",""
"333249","31G","333","33329A","333",""
"3332491","31G","333","33329A","333",""
"33324911","31G","333","33329A","333",""
"3332491108","31G","333","33329A","333",""
"33324912","31G","333","33329A","333",""
"3332491205","31G","333","33329A","333",""
"33324913","31G","333","33329A","333",""
"3332491336","31G","333","33329A","333",""
"3332491346","31G","333","33329A","333",""
"33324914","31G","333","33329A","333",""
"3332491477","31G","333","33329A","333",""
